date,home,away,tournament,pick,actual,pH,pD,pA,brier
2018-06-15,EGY,URU,FIFA World Cup,A,A,0.1058,0.1982,0.6960,0.1429
2018-06-15,MAR,IRN,FIFA World Cup,H,A,0.5879,0.2438,0.1683,1.0968
2018-06-15,POR,ESP,FIFA World Cup,A,D,0.2692,0.2807,0.4501,0.7924
2018-06-16,FRA,AUS,FIFA World Cup,H,H,0.7840,0.1516,0.0644,0.0738
2018-06-17,GER,MEX,FIFA World Cup,H,A,0.6304,0.2275,0.1421,1.1851
2018-06-17,BRA,SUI,FIFA World Cup,H,D,0.7457,0.1729,0.0814,1.2468
2018-06-18,SWE,KOR,FIFA World Cup,A,H,0.1589,0.2383,0.6028,1.1277
2018-06-18,BEL,PAN,FIFA World Cup,H,H,0.7377,0.1771,0.0852,0.1075
2018-06-18,TUN,ENG,FIFA World Cup,A,A,0.0384,0.1107,0.8509,0.0360
2018-06-19,COL,JPN,FIFA World Cup,H,A,0.4464,0.2813,0.2723,0.8080
2018-06-20,POR,MAR,FIFA World Cup,H,H,0.6172,0.2328,0.1500,0.2232
2018-06-20,URU,KSA,FIFA World Cup,H,H,0.8945,0.0815,0.0240,0.0183
2018-06-20,IRN,ESP,FIFA World Cup,A,A,0.0721,0.1616,0.7663,0.0859
2018-06-21,ARG,CRO,FIFA World Cup,H,A,0.7130,0.1898,0.0972,1.3595
2018-06-23,BEL,TUN,FIFA World Cup,H,H,0.8036,0.1401,0.0563,0.0614
2018-06-23,KOR,MEX,FIFA World Cup,A,A,0.1647,0.2418,0.5935,0.2508
2018-06-23,GER,SWE,FIFA World Cup,H,H,0.7884,0.1491,0.0626,0.0709
2018-06-24,ENG,PAN,FIFA World Cup,H,H,0.8776,0.0931,0.0293,0.0245
2018-06-24,JPN,SEN,FIFA World Cup,H,D,0.5395,0.2597,0.2008,0.8794
2018-06-25,KSA,EGY,FIFA World Cup,A,H,0.1714,0.2455,0.5831,1.0868
2018-06-25,ESP,MAR,FIFA World Cup,H,D,0.7458,0.1728,0.0814,1.2471
2018-06-25,IRN,POR,FIFA World Cup,A,D,0.0805,0.1718,0.7477,1.2515
2018-06-27,KOR,GER,FIFA World Cup,A,H,0.0755,0.1659,0.7586,1.4576
2018-06-27,MEX,SWE,FIFA World Cup,H,A,0.7383,0.1768,0.0849,1.4138
2018-06-28,SEN,COL,FIFA World Cup,A,A,0.2384,0.2731,0.4885,0.3931
2018-06-28,PAN,TUN,FIFA World Cup,A,A,0.3524,0.2890,0.3586,0.6191
2018-06-28,ENG,BEL,FIFA World Cup,H,A,0.4511,0.2805,0.2684,0.8175
2018-06-30,FRA,ARG,FIFA World Cup,H,H,0.3754,0.2886,0.3359,0.5863
2018-06-30,URU,POR,FIFA World Cup,A,H,0.2815,0.2830,0.4355,0.7860
2018-07-02,BRA,MEX,FIFA World Cup,H,H,0.7809,0.1534,0.0657,0.0758
2018-07-02,BEL,JPN,FIFA World Cup,H,H,0.6295,0.2279,0.1427,0.2096
2018-07-03,SWE,SUI,FIFA World Cup,A,H,0.1939,0.2567,0.5494,1.0175
2018-07-03,COL,ENG,FIFA World Cup,A,D,0.1775,0.2488,0.5737,0.9249
2018-07-06,URU,FRA,FIFA World Cup,A,A,0.1880,0.2540,0.5580,0.2952
2018-07-06,BRA,BEL,FIFA World Cup,H,A,0.4284,0.2840,0.2876,0.7716
2018-07-07,SWE,ENG,FIFA World Cup,A,A,0.1090,0.2011,0.6899,0.1485
2018-07-10,FRA,BEL,FIFA World Cup,H,H,0.4511,0.2805,0.2684,0.4520
2018-07-11,CRO,ENG,FIFA World Cup,A,H,0.3531,0.2890,0.3579,0.6302
2018-07-14,BEL,ENG,FIFA World Cup,H,H,0.4630,0.2784,0.2586,0.4327
2018-07-15,FRA,CRO,FIFA World Cup,H,H,0.5475,0.2573,0.1952,0.3090
2018-09-06,GER,FRA,UEFA Nations League,A,D,0.0521,0.1207,0.8272,1.4601
2018-09-08,ENG,ESP,UEFA Nations League,A,A,0.2903,0.2643,0.4454,0.4618
2018-09-09,FRA,NED,UEFA Nations League,H,H,0.7945,0.1393,0.0661,0.0660
2018-09-10,SWE,TUR,UEFA Nations League,H,A,0.4963,0.2555,0.2482,0.8767
2018-09-11,ESP,CRO,UEFA Nations League,H,H,0.5395,0.2452,0.2153,0.3185
2018-09-11,BIH,AUT,UEFA Nations League,A,H,0.1791,0.2297,0.5912,1.0761
2018-10-12,BEL,SUI,UEFA Nations League,H,H,0.8671,0.0964,0.0365,0.0283
2018-10-12,CRO,ENG,UEFA Nations League,H,D,0.5574,0.2402,0.2024,0.9289
2018-10-13,NED,GER,UEFA Nations League,H,H,0.5675,0.2372,0.1953,0.2814
2018-10-15,ESP,ENG,UEFA Nations League,H,A,0.7639,0.1558,0.0803,1.4536
2018-10-16,FRA,GER,UEFA Nations League,H,H,0.9234,0.0589,0.0177,0.0096
2018-11-15,CRO,ESP,UEFA Nations League,A,H,0.2794,0.2625,0.4581,0.7980
2018-11-15,AUT,BIH,UEFA Nations League,H,D,0.6118,0.2226,0.1655,1.0060
2018-11-16,NED,FRA,UEFA Nations League,A,H,0.1427,0.2088,0.6485,1.1992
2018-11-17,TUR,SWE,UEFA Nations League,H,A,0.5491,0.2426,0.2084,0.9870
2018-11-18,SUI,BEL,UEFA Nations League,A,H,0.0739,0.1486,0.7775,1.4842
